code	name	sw_l1_name	行业股票数	市值	流通市值	pe	pe行业排名	pb	pb行业排名	ps	ps行业排名	营收同比	营收同比行业排名	现金转化率	现金转化率行业排名	杠杆率	杠杆率行业排名	扣非净/营收
002790	瑞尔特	轻工制造I	137	22.3806	13.6698	18.0372	35	1.304	13	1.5673	39	76.3	49	13.85	24	1.2306	16	0.0805
002791	坚朗五金	建筑材料I	71	560.2835	272.5911	65.7922	58	13.9493	65	7.803	63	55.42	45	-54.62	65	1.5527	28	0.0314
002792	通宇通讯	通信I	105	60.4396	29.3282	53.3263	49	3.2301	52	3.7310000000000003	44	47.49	45	39.96	2	1.5789	56	0.0237
002793	罗欣药业	医药生物I	361	155.819	40.6009	42.3289	173	3.7052	161	2.3742	78	36.62	166	-14.24	315	1.764	283	0.0866
002795	永和智控	机械设备I	415	21.94	19.4713	174.9893	354	3.3934	237	3.1471	156	37.77	257	9.72	100	1.9405	283	0.0383
002796	世嘉科技	机械设备I	415	24.2835	20.6803	65.6512	304	1.5587	47	1.416	55	28.37	296	29.67	28	1.4961	180	-0.0152
002797	第一创业	非银金融I	81	282.4013	277.6973	47.7164	61	2.0364	50	10.2078	63	-49.28	78	273.52	12	2.9546	22	0.0302
002798	帝欧家居	建筑材料I	71	66.7362	40.2206	11.2778	18	1.5659	22	1.1117	20	46.16	54	-36.07	59	2.0966	48	0.062
002799	环球印务	轻工制造I	137	35.55	35.5494	31.8232	72	5.212000000000001	110	1.6847	46	53.1	74	-7.79	90	2.0109	108	0.0384
002800	天顺股份	交通运输I	116	14.4058	13.7743	36.7337	85	2.9514	87	1.1862	27	42.42	56	-18.71	105	1.8967	61	0.0286
002801	微光股份	电气设备I	221	57.4539	28.3679	30.151999999999997	93	4.7318	163	6.69	166	35.8	151	-17.41	134	1.148	12	0.149
002802	洪汇新材	化工I	372	29.6869	29.2719	31.517	193	4.9284	292	4.8154	268	74.58	112	-8.7	269	1.1227	34	0.0896
002803	吉宏股份	轻工制造I	137	94.5266	68.2057	16.3847	28	5.1635	109	1.9138	52	81.48	45	5.4	48	1.5355	65	0.077
002807	江阴银行	银行I	38	87.749	87.6451	8.1629	23	0.7336	18	2.6472	26	-4.29	31	482.61	4	11.5699	4	0.282
002808	恒久科技	电子I	309	22.5523	14.3781	87.535	238	3.8601	155	4.471	168	30.67	230	0.12	177	1.3028	101	0.042
002809	红墙股份	化工I	372	19.9011	12.9019	13.2268	32	1.4911	58	1.351	80	84.05	87	-30.01	353	1.5353	184	0.0653
002810	山东赫达	化工I	372	159.638	143.1909	54.3732	274	12.4245	341	11.6152	327	24.84	284	25.03	28	1.3678	127	0.2385
002811	郑中设计	建筑装饰I	133	22.0879	19.9219	69.2957	107	1.4897	56	1.1744	66	-3.2	130	14.89	13	1.8264	33	0.0411
002812	恩捷股份	化工I	372	1296.7145	891.2025	92.0004	312	11.4042	339	25.0651	342	161.05	16	13.64	66	1.7355	232	0.2806
002813	路畅科技	汽车I	192	36.144	16.9175	40.5301	121	9.41	171	7.9411	164	-32.48	189	7.34	74	1.3848	50	0.0121
002815	崇达技术	电子I	309	99.022	48.2118	22.6198	43	2.4985	60	2.0914	65	39.37	204	15.33	71	1.7346	177	0.0856
002817	黄山胶囊	医药生物I	361	21.7178	14.2289	46.1708	185	2.8113	111	6.1479	183	48.14	136	14.24	117	1.2557	117	0.0838
002818	富森美	商业贸易I	83	96.37299999999999	38.2565	12.3072	9	1.8195	44	7.0509	70	12.84	52	58.5	3	1.1586	3	0.584
002819	东方中科	机械设备I	415	46.6749	40.8464	82.4475	329	8.3457	345	3.9089	196	30.46	287	-23.92	295	1.7851	259	0.0233
002820	桂发祥	食品饮料I	105	21.2582	21.0048	71.8366	79	1.9842	12	5.7282	47	24.45	73	25.53	18	1.1085	11	0.0728
002821	凯莱英	医药生物I	361	875.8824	841.0679	113.98899999999999	271	14.2273	288	25.3777	287	63.45	99	12.95	129	1.1833	81	0.1666
002822	中装建设	建筑装饰I	133	42.1324	37.1812	15.6741	50	1.2491	42	0.6965	42	83.6	33	-31.61	78	1.9918	44	0.0297
002823	凯中精密	电气设备I	221	28.5076	15.8102	32.328	99	2.0988	69	1.3775	46	36.5	149	-11.72	111	2.429	174	0.0233
002824	和胜股份	有色金属I	124	46.8203	27.4344	41.0308	62	5.1607	91	2.7507	67	104.47	16	3.17	49	1.6697	59	0.0847
002825	纳尔股份	化工I	372	23.4403	12.5634	21.5335	125	2.3187	155	1.6636	106	73.2	116	3.62	157	1.3464	123	0.0541
002826	易明医药	医药生物I	361	17.3934	12.1463	43.073	174	2.51	95	2.6166	86	64.65	97	-6.2	287	1.2642	122	0.0329
002827	高争民爆	化工I	372	30.1116	30.1116	58.2213	280	3.9586	267	3.5322	223	153.16	18	-5.62	243	1.654	213	-0.0072
